,S/N,Joined Proctor on,Bootcamp,Score,% Score,% Completed,M1-S1 Correct,M1-S1 Wrong,M1-S1 Tries,M1-S2 Tries,M2-S1 Correct,M2-S1 Wrong,M2-S1 Tries,M2-S2 Tries,M3-S1 Correct,M3-S1 Wrong,M3-S1 Tries,M3-S2 Tries,M4-S1 Correct,M4-S1 Wrong,M4-S1 Tries,M4-S2 Tries,M5-S1 Correct,M5-S1 Wrong,M5-S1 Tries,M5-S2 Tries,M6-S1 Correct,M6-S1 Wrong,M6-S1 Tries,M6-S2 Tries,M7-S1 Correct,M7-S1 Wrong,M7-S1 Tries,M7-S2 Tries,M8-S1 Correct,M8-S1 Wrong,M8-S1 Tries,M8-S2 Tries,M9-S1 Correct,M9-S1 Wrong,M9-S1 Tries,M9-S2 Tries,M10-S1 Correct,M10-S1 Wrong,M10-S1 Tries,M10-S2 Tries
228,3395,2015-12-29,0,167,0.835,100,6,0,0,0,8,2,2,0,0,3,3,3,16,0,0,1,4,0,0,11,3,1,0,1,4,2,2,0,8,2,2,0,17,2,2,0,39,4,4,1
229,3397,2015-12-29,0,190,0.95,100,6,0,0,0,10,0,0,0,0,0,0,1,15,1,1,1,4,0,0,1,4,0,0,1,6,0,0,0,10,0,0,0,18,1,1,0,0,0,3,1
230,3398,2015-12-29,0,152,0.76,100,5,1,1,0,6,4,4,0,0,4,4,1,13,3,3,1,4,0,0,17,3,1,0,1,3,3,3,0,8,2,2,0,15,4,4,0,38,5,5,1
231,3399,2015-12-29,0,154,0.77,100,3,3,3,0,5,5,5,0,0,4,4,1,11,5,5,2,4,0,0,1,3,1,0,1,4,2,2,0,5,5,5,0,13,6,6,0,37,6,6,4
232,3400,2015-12-29,0,174,0.87,100,5,1,1,0,7,3,3,0,0,1,1,1,14,2,2,1,4,0,0,1,4,0,0,1,5,1,1,0,7,3,3,0,13,6,6,0,39,4,4,1
233,3402,2015-12-29,0,176,0.88,100,6,0,0,0,5,5,5,0,0,2,2,1,16,0,0,1,4,0,0,5,4,0,0,1,3,3,3,0,10,0,0,0,19,0,0,0,38,5,5,1
234,3403,2015-12-29,0,182,0.91,100,6,0,0,0,10,0,0,0,0,3,3,1,15,1,1,1,4,0,0,1,4,0,0,1,5,1,1,0,10,0,0,0,17,2,2,0,37,6,6,1
235,3404,2015-12-29,0,156,0.78,100,4,2,2,0,6,4,4,0,0,2,2,1,13,3,3,1,4,0,0,1,4,0,0,5,4,2,2,0,6,4,4,0,14,5,5,0,31,12,12,2
236,3405,2016-02-22,0,153,0.765,100,4,2,2,0,5,5,5,0,0,5,5,1,15,1,1,8,4,0,0,1,3,1,0,1,0,6,6,0,7,3,3,0,16,3,3,0,34,9,9,1
237,3406,2015-12-29,1,183,0.915,100,5,1,1,0,10,0,0,0,0,0,0,1,13,3,3,1,3,1,1,1,4,0,0,1,5,1,1,0,9,1,1,0,19,0,0,0,38,5,5,1
238,3407,2016-01-04,1,184,0.92,100,6,0,0,0,5,5,5,0,0,1,1,1,12,4,4,1,4,0,0,1,4,0,0,1,5,1,1,0,10,0,0,0,19,0,0,0,43,0,0,1
239,3421,2015-12-29,1,95,0.475,100,4,2,2,0,3,7,7,0,0,4,4,2,16,0,0,70,4,0,0,1,3,1,0,1,4,2,2,0,5,5,5,0,17,2,2,0,36,7,7,1
240,3487,2015-12-29,0,162,0.81,100,5,1,1,0,7,3,3,0,0,3,3,1,13,3,3,1,4,0,0,1,3,1,0,2,3,3,3,0,7,3,3,0,15,4,4,0,32,11,11,1
241,3489,2015-12-29,0,156,0.78,100,6,0,0,0,5,5,5,0,0,4,4,1,8,8,8,1,3,1,1,1,4,0,0,1,5,1,1,0,5,5,5,0,15,4,4,0,32,11,11,1
242,3564,2015-12-29,0,166,0.83,100,4,2,2,0,7,3,3,0,0,2,2,1,14,2,2,1,4,0,0,8,4,0,0,4,5,1,1,0,8,2,2,0,16,3,3,0,39,4,4,1
243,3565,2015-12-29,0,167,0.835,100,4,2,2,0,8,2,2,0,0,4,4,1,13,3,3,1,4,0,0,1,3,1,0,1,4,2,2,0,7,3,3,0,17,2,2,0,34,9,9,1
